id,Y1,Y2,id
5,-1.013231,0.35772198,6.0
6,0.5937369,0.40631625,7.0
7,1.6000434,0.5601522,8.0
8,0.02645901,0.15328525,9.0
9,-0.6919715,0.2441078,10.0
10,-1.1995935,0.3098092,11.0
11,-1.2432555,0.934766,12.0
12,0.31914023,0.29996622,13.0
13,-0.5873991,0.33467048,14.0
14,-0.13922341,0.08268696,15.0
15,-0.0420764,0.15451656,16.0
16,1.7015767,0.22829217,17.0
17,1.3173554,0.27924207,18.0
18,1.2906437,0.535255,19.0
19,-0.5146589,0.16980664,20.0
20,-0.8074344,0.30454567,21.0
21,1.0161487,0.37663215,22.0
22,1.0461026,0.48661643,23.0
23,-0.7173771,0.032301046,24.0
24,0.95162195,0.07100836,25.0
25,2.1502457,1.390293,26.0
26,1.9950768,2.5768409,27.0
27,-0.57184815,1.241495,28.0
28,-0.69763523,0.57334816,29.0
29,-3.0855696,2.0176756,30.0
30,2.9961708,2.400606,31.0
31,3.602623,2.336593,32.0
32,-1.3578761,1.8489683,33.0
33,1.5985231,2.004409,34.0
34,1.4531118,1.7053332,35.0
35,-0.08263827,1.3896536,36.0
36,1.0731033,1.0068425,37.0
37,-0.46850708,0.4104946,38.0
38,-0.29559222,0.14152956,39.0
39,-0.18944451,0.11012286,40.0
40,1.5225903,-0.055856925,41.0
41,-0.53546035,-0.09954183,42.0
42,-0.21110332,-0.041283473,43.0
43,1.3330206,-0.09150162,44.0
44,-0.49368188,0.17650095,45.0
45,-2.6750777,0.76829386,46.0
46,0.16182764,0.474975,47.0
47,2.032727,0.3592715,48.0
48,1.2935799,0.21451968,49.0
49,0.7794212,0.18352735,50.0
50,-0.27290848,0.031796753,51.0
51,0.40435216,-0.11527647,52.0
52,-1.1497002,-0.05465652,53.0
53,-0.26861933,-0.08250197,54.0
54,-1.0910194,0.4132335,55.0
55,1.2198591,-0.039585374,56.0
56,0.940213,-0.1738712,57.0
57,0.0042178426,-0.37936398,58.0
58,-1.1540391,-0.10363173,59.0
59,1.0602227,-0.3339854,60.0
60,0.10452539,-0.5093935,61.0
61,0.46398434,-0.54074085,62.0
62,-0.2818999,-0.5705232,63.0
63,-0.9154018,-0.1859474,64.0
64,-0.48784205,-0.30623055,65.0
65,0.34017214,-0.82284224,66.0
66,0.7292848,-0.7572176,67.0
67,0.811228,-0.36357662,68.0
68,-0.7268705,-0.3549374,69.0
69,0.44262224,-0.45549664,70.0
70,0.2124512,-0.2907458,71.0
71,0.3245615,-0.12820122,72.0
72,1.0070168,-0.28381383,73.0
73,0.4167963,-0.3776599,74.0
74,-0.07028614,-0.17751504,75.0
75,-0.4204278,-0.33027333,76.0
76,0.7456959,-0.40755275,77.0
77,-0.4781377,-0.57254505,78.0
78,0.5928222,-0.6536649,79.0
79,1.0366578,-0.48460266,80.0
80,0.36058697,-0.3415709,81.0
81,0.47355258,-0.3924583,82.0
82,1.0361979,-0.20309989,83.0
83,0.5926296,-0.24170922,84.0
84,-0.40525737,-0.16144724,85.0
85,-0.1414405,-0.32756752,86.0
86,0.18503053,-0.5192996,87.0
87,0.05211541,-0.5738807,88.0
88,0.5582679,-0.63716114,89.0
89,0.7110193,-0.45730206,90.0
90,0.16860856,-0.4014037,91.0
91,0.77198285,-0.3291977,92.0
92,0.7708603,-0.15195133,93.0
93,-0.6216042,-0.44999614,94.0
94,-0.7291799,-0.6487655,95.0
95,0.31580085,-0.6045277,96.0
96,0.9489991,-0.49505526,97.0
97,1.3809371,-0.24624415,98.0
98,0.48504597,-0.3042889,99.0
99,0.18030159,-0.20922379,100.0
100,-0.10006002,-0.339312,101.0
101,0.4051921,-0.4136789,102.0
102,-0.25707334,-0.30766958,103.0
103,1.6458576,0.1885186,104.0
104,2.1148233,1.0909888,105.0
105,0.16805738,1.4055948,106.0
106,0.939457,1.1471047,107.0
107,-0.027925728,1.1074033,108.0
108,0.290831,0.37949687,109.0
109,0.64749026,-0.0052938005,110.0
110,0.19069119,-0.234516,111.0
111,-0.46655163,-0.06968854,112.0
112,0.40802902,0.020682123,113.0
113,-0.8696714,0.49119067,114.0
114,-0.4896064,0.27910918,115.0
115,-0.42261142,0.4969688,116.0
116,-0.050355665,0.09119948,117.0
117,-0.529467,0.043422,118.0
118,0.3017424,-0.1336819,119.0
119,1.2897371,0.26838967,120.0
120,-0.28197303,0.051114883,121.0
121,-1.1619366,0.12667297,122.0
122,0.32836244,-0.02708194,123.0
123,0.89047986,-0.15294945,124.0
124,0.38735294,0.01766954,125.0
125,0.36069003,0.74773085,126.0
126,-0.28796333,1.2451788,127.0
127,-3.7082288,3.5116198,128.0
128,0.5344184,2.162078,129.0
129,2.71181,1.7249659,130.0
130,2.4839766,2.0166316,131.0
131,2.8516574,2.344553,132.0
132,0.06094774,2.7379994,133.0
133,1.266158,1.9455748,134.0
134,0.0720703,1.0461503,135.0
135,-0.69021076,0.78917843,136.0
136,-0.58613616,0.18327598,137.0
137,0.00048232265,-0.09647864,138.0
138,0.39489526,0.14509404,139.0
139,0.1821831,0.2747822,140.0
140,-0.08457117,-0.017391518,141.0
141,0.04337135,-0.20981179,142.0
142,0.10621659,-0.14946057,143.0
143,-0.77814734,0.04276102,144.0
144,0.26897964,-0.03170766,145.0
145,0.9424659,-0.08166831,146.0
146,0.14300965,0.032979548,147.0
147,0.12901135,0.03233618,148.0
148,-0.66369045,0.00026128162,149.0
149,0.5515263,-0.048932392,150.0
150,0.46201208,-0.009762443,151.0
151,0.11632558,-0.20396912,152.0
152,-0.5183464,-0.28126115,153.0
153,0.58646315,-0.36410773,154.0
154,1.3424685,-0.061120957,155.0
155,0.6542223,-0.3202807,156.0
156,-0.19049315,-0.57121444,157.0
157,0.4118118,-0.5222218,158.0
158,-0.31411466,-0.5416788,159.0
159,0.72749025,-0.27027726,160.0
160,0.16660592,-0.26083967,161.0
161,0.22932611,-0.022495035,162.0
162,-0.3218526,-0.19521242,163.0
163,-0.31777173,-0.22218308,164.0
164,1.4548653,-0.26269752,165.0
165,0.13501543,-0.10913674,166.0
166,-0.3404701,-0.30922845,167.0
167,-0.46855852,-0.34797856,168.0
168,-0.1352778,-0.3105294,169.0
169,0.08222994,-0.19382517,170.0
170,-0.2979294,-0.07020696,171.0
171,-0.54140687,0.02353501,172.0
172,0.39537355,-0.05378993,173.0
173,1.2569093,-0.09130754,174.0
174,-0.22195815,-0.022208422,175.0
175,-2.1059916,0.7566573,176.0
176,0.39243117,0.3746454,177.0
177,-0.18438104,-0.021609254,178.0
178,0.32843238,-0.0823812,179.0
179,1.1459084,-0.20381315,180.0
180,-0.15544312,-0.25422618,181.0
181,-0.33729443,-0.07595215,182.0
182,-0.18941322,-0.24954145,183.0
183,0.83160865,-0.3043595,184.0
184,0.14193588,-0.37097865,185.0
185,-0.49709365,-0.14005172,186.0
186,0.8202649,-0.05541569,187.0
187,-1.063517,0.098397695,188.0
188,-0.7248276,0.093665145,189.0
189,0.24852256,-0.18861149,190.0
190,-0.59128535,-0.13607527,191.0
191,0.34405014,-0.12631537,192.0
192,0.94752884,-0.22563215,193.0
193,1.0155078,-0.22855203,194.0
194,-1.1059113,-0.30520236,195.0
195,0.277563,-0.43658125,196.0
196,0.57991296,-0.20241961,197.0
197,1.115355,0.36797062,198.0
198,0.9276187,0.31634605,199.0
199,0.08699451,0.09334905,200.0
200,1.6140549,0.18721463,201.0
201,0.44896963,-0.12480475,202.0
202,0.14573774,-0.11338649,203.0
203,2.8188035,0.8105776,204.0
204,-0.6744403,0.4579631,205.0
205,-0.36580077,0.1458045,206.0
206,0.44599915,-0.14397873,207.0
207,0.5763244,-0.10618284,208.0
208,0.23049526,-0.22099878,209.0
209,-0.2997521,-0.34815815,210.0
210,-0.31595173,-0.37605074,211.0
211,0.4664109,-0.33602875,212.0
212,0.10246143,-0.46846068,213.0
213,-0.1187182,-0.46806294,214.0
214,-0.4278119,-0.42971116,215.0
215,0.5930791,-0.10039314,216.0
216,-0.55163664,-0.022937328,217.0
217,1.9167007,0.12575272,218.0
218,1.0483576,-0.068625405,219.0
219,-1.1405596,-0.056626827,220.0
220,-0.54099226,0.35802403,221.0
221,3.4255722,2.059814,222.0
222,-0.12361734,3.0968223,223.0
223,0.5974906,1.6353674,224.0
224,1.4221046,0.59366673,225.0
225,-0.21536212,0.17003469,226.0
226,1.2705216,0.8239539,227.0
227,2.1536946,2.086314,228.0
228,1.6677147,3.0357492,229.0
229,4.101621,6.8432393,230.0
230,-0.82657593,6.99198,231.0
231,0.8562264,3.0303726,232.0
232,0.20517966,1.0822899,233.0
233,-0.15679802,0.6617908,234.0
234,0.23223543,0.82878506,235.0
235,0.9226386,1.6199186,236.0
236,-1.9127204,1.4059222,237.0
237,-0.70230186,1.2242501,238.0
238,0.4369272,0.49339485,239.0
239,0.052568994,0.039631072,240.0
240,-0.26407203,-0.17515525,241.0
241,1.3319838,-0.14159694,242.0
242,-0.7099674,-0.32437646,243.0
243,0.1607861,-0.45689628,244.0
244,0.21360435,-0.4752538,245.0
245,0.69165516,-0.018733218,246.0
246,2.5186598,1.9726504,247.0
247,4.0413895,6.602001,248.0
248,-5.8082414,9.569845,249.0
249,-2.9150333,6.3402157,250.0
250,1.4503163,2.4234319,251.0
251,-3.6112251,2.4818926,252.0
252,-0.20871647,1.2673899,253.0
253,1.3103157,0.39593777,254.0
254,0.40132946,0.61985636,255.0
255,-5.5566087,4.0125175,256.0
