id,Y1,Y2
1,0.7109697,-0.13690369
2,-0.5541723,-0.39552224
3,-0.33371514,-0.34794927
4,-0.27352846,-0.15293607
5,-1.2749841,0.016926058
6,0.5221802,0.20427994
7,1.0611411,0.0411764
8,-0.28653395,-0.3535553
9,-1.0894307,-0.18535903
10,-1.0327424,-0.2995887
11,-1.4143809,1.2555307
12,0.07032846,0.008246757
13,-0.8004585,0.66271085
14,-0.27279884,-0.072202995
15,0.076681286,-0.08313911
16,1.4569827,-0.17972837
17,1.4646574,0.019052692
18,1.4788731,0.1787735
19,-0.861984,-0.21542242
20,-1.072178,-0.09067209
21,0.8597508,-0.2088644
22,1.2131451,0.16870254
23,-1.0593415,-0.29197943
24,0.7512803,-0.26923692
25,1.1893208,0.33121598
26,1.667919,1.9897435
27,-0.84305745,0.45347154
28,-0.71119976,-0.085116275
29,-3.4788785,1.6829549
30,2.6910217,1.6619928
31,4.1933036,1.6359165
32,-1.7694737,1.1088694
33,1.7094587,1.0793545
34,1.0979083,0.6116055
35,-0.50282073,0.79278034
36,1.0287702,0.37718734
37,-0.8324362,-0.06061887
38,-0.47309002,-0.29245478
39,-0.73909354,0.0049025416
40,1.1091862,-0.34243828
41,-0.83270633,-0.29501623
42,-0.52361536,-0.16387476
43,1.2929126,-0.42925593
44,-0.65692323,-0.15166968
45,-2.9840431,0.38807338
46,0.09301776,0.4355644
47,1.9410311,0.1096046
48,0.72403896,-0.05027266
49,0.9206551,0.094390154
50,-0.62035525,-0.19822581
51,0.57310766,-0.36568812
52,-1.43503,-0.38109997
53,-0.51156175,-0.53889036
54,-1.7276088,0.20738661
55,1.2481736,-0.3045019
56,0.7499274,-0.4394732
57,-0.48468122,-0.63933945
58,-1.7531582,-0.22691
59,1.3932525,-0.4309064
60,-0.38444525,-0.5290379
61,0.27232236,-0.52452093
62,-0.683764,-0.51707476
63,-0.85699874,-0.2967771
64,-0.17626563,-0.479282
65,0.02909879,-0.55180407
66,0.5503273,-0.6552905
67,0.6981325,-0.1703314
68,-1.2684507,-0.21522328
69,0.4715564,-0.41538316
70,0.15496635,-0.4451368
71,0.25624022,-0.31715217
72,0.77021426,-0.3626715
73,-0.08655573,-0.47063643
74,-0.4149718,0.20333654
75,-0.77507037,-0.3295688
76,0.8427786,-0.36045855
77,-0.82745814,-0.36766258
78,0.73704195,-0.50763565
79,0.89338416,-0.5096229
80,0.42826742,-0.35104322
81,0.42509842,-0.5447858
82,1.0539284,0.033751704
83,0.37621394,-0.34821314
84,-0.5414409,0.037114605
85,-0.5247263,-0.4318158
